Time,Training (Empirical) Performance,Test Set Performance,AC Overhead Time,Validation Configuration ID
0,1.0,1.0,0,0
0.2461719512939453,0.5,0.5,0,0
1.7214338779449463,0.011928023305385782,0.016065907400884538,0,1
5.205930471420288,0.010826701719482745,0.01905991937693241,0,2
8.01033616065979,0.009725380133579709,0.016065907400884538,0,3
9.306964635848999,0.05137132300696323,0.055281593675394314,0,4
64.49636340141296,0.006328158306096343,0.006261985832257011,0,5
65.18741106987,0.021466889299417424,0.022601855113302816,0,6
66.3402841091156,0.022474953815546428,0.035399788657978215,0,7
67.11446499824524,0.03897701435270706,0.0438339008257993,0,8
