Time,Training (Empirical) Performance,Test Set Performance,AC Overhead Time,Validation Configuration ID
0,1.0,1.0,0,0
0.24570965766906738,0.5,0.5,0,0
1.697950839996338,0.011928023305385782,0.016065907400884538,0,1
5.233262062072754,0.010826701719482745,0.01905991937693241,0,2
8.009046077728271,0.02256821088532046,0.01905991937693241,0,3
9.286541223526001,0.05137132300696323,0.055281593675394314,0,4
64.48380422592163,0.0053200937899673395,0.006261985832257011,0,5
65.19243478775024,0.006328158306096343,0.006261985832257011,0,6
66.34410262107849,0.02577891857325565,0.04520371022660563,0,7
67.1265709400177,0.029531405428449675,0.028315917185237405,0,8
